time, R
0.010000,1.199982
0.022977,1.199907
0.031777,1.199823
0.039735,1.199723
0.046815,1.199615
0.053181,1.199504
0.059004,1.199389
0.064414,1.199272
0.069507,1.199152
0.074349,1.199030
0.078985,1.198905
0.083451,1.198778
0.087771,1.198648
0.091964,1.198515
0.096045,1.198381
0.100026,1.198244
0.103918,1.198104
0.107727,1.197963
0.111462,1.197819
0.115127,1.197673
0.118728,1.197526
0.122269,1.197376
0.125755,1.197224
0.129188,1.197070
0.132572,1.196915
0.135910,1.196758
0.139204,1.196599
0.142456,1.196438
0.145669,1.196275
0.148843,1.196111
0.151982,1.195946
0.155087,1.195778
0.158159,1.195609
0.161199,1.195439
0.164210,1.195267
0.167191,1.195094
0.170144,1.194919
0.173071,1.194742
0.175971,1.194565
0.178847,1.194386
0.181699,1.194205
0.184527,1.194024
0.187332,1.193840
0.190116,1.193656
0.192879,1.193470
0.195621,1.193283
0.198343,1.193095
0.201046,1.192906
0.203729,1.192715
0.206395,1.192523
0.209043,1.192330
0.211673,1.192136
0.214287,1.191941
0.216884,1.191744
0.219465,1.191547
0.222031,1.191348
0.224581,1.191148
0.227116,1.190947
0.229637,1.190745
0.232144,1.190542
0.234636,1.190338
0.237115,1.190132
0.239581,1.189926
0.242034,1.189719
0.244474,1.189511
0.246901,1.189301
0.249317,1.189091
0.251720,1.188880
0.254111,1.188668
0.256491,1.188454
0.258860,1.188240
0.261218,1.188025
0.263565,1.187809
0.265901,1.187592
0.268226,1.187374
0.270542,1.187155
0.272847,1.186936
0.275142,1.186715
0.277427,1.186493
0.279703,1.186271
0.281970,1.186048
0.284227,1.185824
0.286475,1.185598
0.288714,1.185373
0.290944,1.185146
0.293166,1.184918
0.295379,1.184690
0.297583,1.184460
0.299779,1.184230
0.301967,1.183999
0.304147,1.183768
0.306319,1.183535
0.308484,1.183302
0.310640,1.183068
0.312789,1.182833
0.314930,1.182597
0.317064,1.182360
0.319191,1.182123
0.321311,1.181885
0.323423,1.181646
0.325529,1.181407
0.327627,1.181166
0.329719,1.180925
0.331804,1.180683
0.333882,1.180441
0.335954,1.180197
0.338019,1.179953
0.340078,1.179709
0.342131,1.179463
0.344177,1.179217
0.346218,1.178970
0.348252,1.178722
0.350280,1.178474
0.352302,1.178225
0.354318,1.177975
0.356329,1.177724
0.358334,1.177473
0.360333,1.177221
0.362327,1.176969
0.364315,1.176716
0.366297,1.176462
0.368274,1.176207
0.370246,1.175952
0.372213,1.175696
0.374174,1.175440
0.376130,1.175182
0.378081,1.174924
0.380027,1.174666
0.381967,1.174407
0.383903,1.174147
0.385834,1.173887
0.387760,1.173625
0.389681,1.173364
0.391598,1.173101
0.393510,1.172838
0.395417,1.172575
0.397319,1.172310
0.399217,1.172046
0.401110,1.171780
0.402999,1.171514
0.404884,1.171247
0.406764,1.170980
0.408639,1.170712
0.410510,1.170444
0.412377,1.170175
0.414240,1.169905
0.416099,1.169634
0.417953,1.169364
0.419803,1.169092
0.421649,1.168820
0.423491,1.168547
0.425329,1.168274
0.427163,1.168000
0.428994,1.167726
0.430820,1.167451
0.432642,1.167175
0.434460,1.166899
0.436275,1.166623
0.438086,1.166345
0.439893,1.166068
0.441696,1.165789
0.443496,1.165510
0.445292,1.165231
0.447085,1.164951
0.448873,1.164670
0.450659,1.164389
0.452440,1.164108
0.454219,1.163825
0.455993,1.163543
0.457764,1.163259
0.459532,1.162976
0.461297,1.162691
0.463058,1.162406
0.464815,1.162121
0.466570,1.161835
0.468321,1.161549
0.470069,1.161262
0.471813,1.160974
0.473555,1.160686
0.475293,1.160398
0.477028,1.160109
